지역명(쿼리용),지역평균고도,강수계속시간,최다강수량(1H),일강수량,최대풍속,평균기온,전일침수발생여부,침수발생여부(지도학습용)
강북,70,24,57.5,131,4.3,26.7,1,1
강북,70,17,10,10.5,3.8,28.6,1,1
강북,70,21,18.5,83.5,5.9,26.6,1,1
강북,70,24,50,172.5,4.4,23.9,1,1
강북,70,24,2,4.5,3.8,27.4,1,1
강북,70,0,0,0,2.6,26.3,1,1
강북,70,14,18.5,74.5,2.3,23.3,1,1
강북,70,24,4,13.5,3.8,23.5,0,1
강북,70,6,4.5,8,2.3,25.2,1,1
강북,70,24,13.5,60,6.3,21.9,1,1
강북,70,24,8.5,15.5,6.8,24.2,1,1
강북,70,21,51.5,63.5,6.5,24.4,1,1
강북,70,19,4.5,33,2.3,22,1,1
강북,70,0,0,0,2.9,22.2,1,1
강북,70,0,0,0,3,23.8,1,1
강북,70,0,0,0,4.5,24.7,1,1
강북,70,7,3.5,8,3.6,24.1,1,1
강북,70,24,16,83,5.1,22.7,1,1
강북,70,24,17,44.5,3.4,21.3,1,1
강북,70,6,0.5,0.5,2.7,24.3,1,1
강북,70,24,12,37.5,5.7,23.6,1,1
강북,70,24,29.5,90,6.5,23.9,1,1
강북,70,24,21.5,47,5.9,23.3,1,1
강북,70,24,3.5,4,4.2,27.3,0,1
강북,70,24,45.5,81.5,5.5,24.5,1,1
강북,70,9,0.5,0.5,3.1,25.2,1,1
강북,70,6,3,3,2.8,27.2,0,1
강북,70,13,8,14.5,6.4,25.2,1,1
강북,70,22,0.5,0.5,4.2,26.4,1,1
강북,70,24,56,266.5,6.2,25,1,1
강북,70,24,17.5,40.5,5,27,1,1
강북,70,20,1,1.5,4.6,29,1,1
강북,70,23,23.5,49.5,7.6,25.4,1,1
강북,70,24,56.5,245.5,4.7,19.7,1,1
강북,70,24,8,46.5,2.4,20.3,1,1
강북,70,24,6.5,36,2.7,20.5,1,1
강북,70,0,0,0,2.3,23.6,1,1
강북,70,4,1,2.5,2.8,23.2,1,1
강북,70,23,1.5,3,3.5,23.4,1,1
강북,70,23,4,5,4.1,25.6,1,1
강북,70,0,0,0,3,25.3,1,1
강북,70,0,0,0,3.2,24.9,1,1
강북,70,0,0,0,2.2,26.2,1,1
강북,70,24,1,3.5,2.4,23.6,1,1
강북,70,22,31,189,4.1,22.1,1,1
강북,70,20,17,40,2.4,23.3,1,1
강북,70,24,4,7.5,3.5,26,1,1
강북,70,18,20,84.5,2.3,23.8,0,1
강북,70,24,43.5,144,3.1,24.7,1,1
강북,70,24,2,5,5.7,23.3,1,1
강북,70,7,2.5,3.5,2.1,23.9,1,1
강북,70,24,44,143.5,4.5,22.5,1,1
강북,70,24,6,19.5,2.5,23.3,1,1
강북,70,24,15.5,61.5,2.9,22.2,1,1
강북,70,24,13.5,37.5,5.1,26.7,1,1
강북,70,23,1,1,4.5,26.6,1,1
강북,70,0,0,0,3.8,26.5,1,1
강북,70,0,0,0,3.9,27.3,1,1
강북,70,0,0,0,3.2,28.8,1,1
강북,70,0,0,0,2.6,29.2,1,1
강북,70,0,0,0,2.8,31,1,1
강북,70,6,0.5,0.5,3.6,29.3,1,1
강북,70,0,0,0,3.4,30.9,1,1
강북,70,6,24.5,24.5,3.5,29,1,1
강북,70,23,47.5,73,3.4,25.8,1,1
강북,70,24,4.5,13,2.9,27.5,1,1
강북,70,0,0,0,3.9,28.2,1,1
강북,70,6,3,4.5,4.1,26,1,1
강북,70,24,3.5,6,4.9,22.2,1,1
강북,70,0,0,0,2.6,24.6,1,1
강북,70,23,13,45.5,5.9,23.2,1,1
강북,70,22,47,205,4.4,21.1,0,1
강북,70,2,0.5,0.5,2.1,24.7,1,1
강북,70,23,21.5,115.5,5,21,1,1
강북,70,22,2.5,4.5,3.7,23.4,1,1
강북,70,24,38,148.5,7.2,23.3,1,1
강북,70,0,0,0,5.2,23.7,1,1
강북,70,0,0,0,2.8,27.3,1,1
강북,70,14,22,115,2.8,23.8,1,1
강북,70,24,25,110.5,3,23.6,1,1
강북,70,0,0,0,3.9,29.4,0,1
강북,70,15,24.5,43,4.7,26.7,1,1
강북,70,0,0,0,3.7,28.9,1,1
강북,70,11,2.5,3.5,3.2,24.5,1,1
강북,70,24,15,25,2.9,26,1,1
강북,70,14,5,13.5,5.3,27.1,1,1
강북,70,24,67,69.5,6.3,27.6,1,1
강북,70,12,0.5,1,3.8,25.3,1,1
강북,70,0,0,0,3,26.4,1,1
강북,70,21,50,69.5,4.1,26.2,1,1
강북,70,10,42.5,54,4.4,25.4,1,1
강북,70,23,0.5,0.5,2,25.7,1,1
강북,70,0,0,0,5.7,26.8,1,1
강북,70,16,34,106,3.1,20.9,1,1
강북,70,24,20,68.5,4.4,24.4,1,1
강북,70,24,16.5,59.5,2.3,24,1,1
강북,70,21,6.5,12.5,4,22.6,1,1
강북,70,24,33.5,130.5,5.1,20.9,1,1
강북,70,0,0,0,4,16.6,1,1
강북,70,0,0,0,4.8,24.8,0,1
강북,70,18,4.5,10.5,5.7,22.7,1,1
강북,70,19,11,52.5,5.9,22.4,1,1
강북,70,22,2,8.5,6.5,20.2,1,1
강북,70,17,10,37.5,3.1,18.9,1,1
